ORF	Sulfometuron methyl 	MMS 	Clotrimazole 	Benomyl 	Plumbagin 	Hydroxyurea 	Artemisinin 	Amantadine hydrochloride 	4-Hydroxytamoxifen 	Usnic acid 	Sodium Azide 	Nystatin 	Neomycin sulfate 	Caffeine 	Menthol 	Verrucarin 	Valinomycin 	Trifluoroperazine 	Tamoxifen 	Raloxifene 	Pentamidine 	Nigericin 	LY-294,002 	Latrunculin B 	Hydroxyethilhidrazine 	Hydrogen peroxide 	Hoechst 	Harmine 	Haloperidol 	Fenpropimorph 	Emetine 	Dyclonine 	Doxycycline 	Cyclopiazonic acid 	Clomiphene 	Cisplatin 	Chlorpromazine 	Cerulenin 	Calcium ionophore 	Anisomycin 	Amphotericin 	Amiodarone 	Alamethicin 	Actinomycin 	Abietic acid 	Wortmannin 	Staurosporine 	Conine 	Parthenolide 	Radicicol 	Mitomycin C 	Trichostatin A 	FK506 	Brefeldin A 	U73122 	Tunicamycin 	Thialysine 	Rapamycin 	Phenylarsine oxide 	Phenantroline 	Oligomycin 	Nocodazole 	Hygromycin B 	Extract 95-57 	Extract 6592 	Extract 00-89 	Extract 00-303C 	Extract 00-243 	Extract 00-192 	Extract 00-132 	Emodin 	Desipramine 	Cytochalasin A 	CG4-Theopalauamide 	Caspofungin 	Camptothecin 	Basiliskamide 	192A4-Stichloroside 	Papuamide B 	Agelasine E 	Fluconazole 	Geldanamycin 
YOL023W	0.0334	0.561025	-0.209075	0.64975	0.26125	0.252775	0.5236	-0.04285	0.1566	0.95525	1.750475	-0.03365	-0.0299	-0.274525	0.2917	0.008125	1.008625	-0.34165	-0.093	0.10305	-0.0561	0.3794	0.106625	-0.01415	0.1276	0.840025	-0.077775	0.614	0.390375	0.40815	0.0776	0.077825	0.41285	0.09045	0.02725	-0.19445	0.166575	-0.11205	-0.126775	-0.187375	0.0596	0.243825	0.1951	0.110925	-0.3175	-0.38555	-0.069225	0.191125	0.1059	-0.007575	-0.0745	0.1681	-0.01705	-0.198575	-0.189575	0.50875	-0.069725	1.026775	-0.317125	0.089575	0.237525	0.24205	0.01795	0.8429	0.18175	0.413225	0.0712	-0.422425	-0.353075	0.0031	0.1413	-0.0035	-0.02595	0.226875	-0.25875	-0.4545	0.3404	-0.79425	-0.0792	0.193275	0.250175	-0.301775
YGR068C	0.0886	-0.250225	-0.049075	-0.1688	-0.3209	0.16505	0.104325	-0.49075	0.0036	-0.004425	-0.24065	-0.11365	0.193925	-0.02355	0.00805	-0.214	0.042025	  	-0.105325	-0.271425	  	  	-0.169725	  	-0.248875	-0.3533	  	-0.01965	0.00545	-0.121475	-0.0234	-0.691075	-0.23655	-0.267975	  	  	  	  	0.13945	0.13205	-0.365825	-0.009375	  	-0.093	0.08555	0.17365	-0.064975	0.17545	0.2185	  	  	-0.12815	0.041875	0.038275	0.10635	-0.136925	-0.067575	0.0688	0.059225	0.336425	0.018375	0.0082	0.08015	-0.305375	0.0805	0.062375	0.1463	0.0373	-0.548475	-0.291975	-0.18835	-0.062575	-0.16555	0.102475	-0.491225	0.15085	-0.165825	-0.43495	-0.382275	0.01865	0.1371	-0.13895
YOR324C	-0.031225	0.382675	-0.1845	0.023675	0.11255	-0.129925	0.2686	-0.146675	-0.1821	-0.43985	0.171325	-0.314925	0.139725	0.0378	-0.2304	-0.155175	-0.3125	-0.23685	-0.111625	-0.0496	0.871325	-0.03905	0.016225	-0.2863	-0.0075	0.184575	-0.13815	0.0898	0.044125	-0.13745	-0.42315	-0.517375	-0.196625	0.096975	-0.026275	0.05645	0.02765	0.242	0.28145	-0.041275	-0.043625	-0.203475	-0.223325	-0.0148	-0.1074	-0.5316	-0.091275	-0.4545	0.068625	0.07695	0.251775	0.025975	-0.285225	-0.052175	0.1012	-0.077525	0.055125	-0.1472	-0.095	0.35825	-0.012275	-0.516	0.227475	0.1519	-0.15475	-0.089225	0.142975	-0.07605	-1.135725	-0.8291	0.19265	-0.08625	-0.213175	-0.643625	-0.037625	0.1427	0.403825	-0.831175	-0.139625	0.08035	-0.330575	-0.099125
YEL038W	0.234975	-0.190575	-0.206775	0.437125	-0.010175	0.00145	-0.02055	0.379	-0.045725	0.15375	0.231025	-0.093325	0.12595	0.08375	-0.059975	0.0858	0.106975	-0.1861	-0.037175	-0.1793	0.6135	0.04155	-0.002475	0.114525	0.114725	-0.23465	-0.099975	0.0429	0.018325	-0.049925	0.030275	0.03635	0.1078	-0.15315	-0.091975	-0.0263	-0.115275	-0.027275	-0.242675	-0.0694	0.169375	-0.13735	-0.067425	-0.03405	0.087125	-0.45145	0.0317	-0.082	-0.16365	0.265525	-0.34585	0.0245	0.166725	-0.020025	-0.20825	-0.006725	-0.063375	-0.07205	-0.010775	-0.1156	0.367275	-0.07575	-0.116825	0.214225	0.0429	-0.1424	-0.266525	0.017	0.146425	0.5772	0.526575	-0.025975	-0.19855	0.3535	0.092125	0.024125	0.331275	-0.223125	-0.2153	-0.16785	0.005375	0.166925
YBR053C	0.20735	-0.3209	-0.126925	0.014375	0.01585	-0.276225	-0.307075	-0.230925	0.1408	0.10715	0.04615	0.01215	-0.402225	0.003575	-0.22455	-0.3842	-0.122225	-0.2569	-0.192075	-0.2151	0.082275	-0.326075	-0.383025	0.113975	-0.2118	-0.247525	-0.2054	-0.154325	-0.154325	0.41225	0.076925	-0.0515	-0.24685	0.2306	-0.074225	-0.159925	-0.25755	-0.241975	-0.314425	-0.45905	0.1585	-0.343275	-0.217875	0.1051	0.268825	-0.257475	0.14065	-0.188	0.128175	-0.2124	0.617425	-0.1631	0.346575	-0.31115	-0.186925	0.09685	-0.231075	0.207375	0.019275	-0.27725	0.0349	-0.01875	-0.056925	-0.371625	-0.1287	-0.52945	0.396675	0.02035	0.11035	-0.067525	-0.1159	-0.09425	0.259825	0.020025	-0.3327	0.086075	0.3147	-0.2733	-0.0665	0.068525	0.168425	-0.126825
YOR267C	0.034825	-0.11425	-0.162725	-0.52305	-0.1987	-0.1117	-0.221775	-0.48165	0.160575	0.5016	0.384	-0.1298	0.96545	-0.0051	-0.2274	0.42275	0.33415	0.1843	0.0097	-0.461425	-0.49065	0.0758	-0.1095	-0.020175	0.2041	0.4637	0.1404	-0.356075	-0.144825	-0.07065	-0.523575	-0.334825	0.1798	-0.170775	0.07375	-0.001125	-0.084975	-0.021375	-0.316375	0.41945	0.390875	-0.069925	-0.195525	0.310675	-0.2945	0.8377	-0.318675	0.68035	-0.8974	-0.036625	0.245775	0.06855	-0.049725	0.4489	0.057625	0.235225	0.43465	0.3789	0.256825	-0.454275	0.018225	0.088875	-1.05315	-1.155425	0.03435	-0.23105	-0.138575	0.07315	1.88625	1.203925	-0.0121	-0.168875	0.01175	0.563075	-0.777325	-0.14315	-0.4069	1.642325	-0.00695	-0.1321	-0.00085	0.02295
YOR089C	0.98485	-0.085	-0.6981	0.64885	0.3581	0.128725	-0.515975	1.4628	0.508825	0.7956	-0.565275	0.21285	2.33085	0.686325	0.29365	0.4102	-2.06005	0.4577	0.00225	0.6319	-0.98775	2.490225	0.429775	0.0794	-0.109325	1.2279	-0.05305	-0.129175	-0.12325	-0.517225	-0.1127	-0.9034	1.10775	-0.121175	0.024075	0.685075	0.389925	-0.204975	-0.522425	-0.026975	-0.9566	0.82275	-0.2059	1.651675	-0.442525	-0.060625	0.3496	-0.2407	-0.1932	1.132825	0.163975	1.0654	-0.21705	0.336775	0.412875	1.25925	0.72685	0.8886	0.4323	-0.73	-0.233525	1.00335	1.86505	1.010825	-0.3711	-0.15985	-0.18	-0.5963	0.9361	1.63685	0.118475	0.8795	1.52895	1.2682	0.914625	0.5929	-0.4806	-0.73065	0.984675	-0.067725	1.601675	1.50405
YGL005C	-0.093425	0.200825	-0.65325	0.4745	0.103625	-0.027625	-0.2577	0.4466	0.335525	-0.596125	-0.7716	0.457675	1.48895	0.0509	0.79575	0.4461	0.541525	0.372775	0.050875	0.7278	-0.34325	3.710775	0.408175	1.35305	0.112425	0.032625	0.013775	-0.202875	0.08785	-0.097275	-0.20705	-0.697025	-0.29755	-0.025175	0.01725	0.108725	0.73635	0.31835	-0.00285	0.206275	1.5967	-0.278925	0.75505	0.0754	0.606575	0.4802	0.27815	0.061375	0.731575	1.1879	-0.317625	0.852775	0.05555	1.543475	1.71575	1.318575	-0.3172	0.12355	-0.27345	-2.250275	-0.053825	-0.25085	1.4442	-0.4998	-0.199575	-0.796725	1.40635	0.079325	-1.37295	-0.5811	0.924175	0.810175	0.802625	-0.038725	0.949075	-0.33005	-0.322925	-1.364225	2.84775	-0.4742	0.0537	2.4657
YLR423C	0.19255	0.20025	0.00865	-0.00555	0.02115	-0.1503	-0.0536	-1.36735	0.3528	0.9443	0.3781	0.226	0.0518	-0.42295	0.04515	0.14825	-0.04	0.1637	0.01395	0.0945	0.0181	0.2747	0.2184	-0.36205	-0.2618	-0.0469	0.2792	-0.1483	-0.0578	0.0457	-0.0978	0.97575	-0.25075	-0.4773	-0.24755	-0.05215	-0.2089	-0.2037	-0.5124	0.24825	0.15345	0.12755	0.03695	0.39785	0.49975	0.2027	-0.2502	-0.14855	-0.47165	-0.00925	0.1451	-0.4366	-0.0758	0.174	-0.2424	0.10155	-0.23545	0.3368	0.02975	-0.06915	0.4453	0.1351	0.49105	0.46005	0.364	-0.1094	0.21095	-0.245	0.4862	-0.1734	0.03275	-0.08105	0.2982	-0.4069	0.1969	-0.42445	0.69985	-0.3308	-0.39875	-0.2731	-0.60925	0.18915
YIL002C	-0.011625	-0.084825	1.6252	-0.14545	-0.016575	-0.050625	-0.30955	0.9216	0.2272	-0.808425	0.17395	0.0214	3.68585	0.068625	0.1214	0.41525	-1.118325	0.383475	0.254175	0.653525	0.606325	0.000275	0.171775	0.113025	0.187275	0.085675	-0.880275	0.177925	0.393225	0.181975	0.0647	0.230075	0.556825	0.228275	0.1125	-0.089	0.465175	-0.19875	0.414	0.240675	-0.29265	0.6535	0.76345	0.7759	0.153075	-1.87115	0.047925	0.1622	-0.0843	0.331175	0.211925	-0.2598	0.1002	0.171925	0.87365	-0.0427	-0.13485	-0.56275	-0.215675	-0.46335	0.19765	-0.167675	0.469225	-0.243725	-0.03935	-0.3789	-0.0618	-0.2782	-2.46345	-1.845375	0.394925	0.19015	0.031675	-0.4963	0.483175	0.137075	0.1613	-1.390375	0.808225	-0.156675	1.148575	0.020525
