gene	strain	set	sample
PBS2	S288C	new	GbackP1A01
HOG1	S288C	new	GbackP1B01
STE50	S288C	new	GbackP1C01
PET130	S288C	new	GbackP1D01
MAL32	S288C	new	GbackP1E01
MAL11	S288C	new	GbackP1F01
MAL12	S288C	new	GbackP1G01
MET5	S288C	new	GbackP1H01
PBS2	S288C	original	GbackP1A02
HOG1	S288C	original	GbackP1B02
STE50	S288C	original	GbackP1C02
PET130	S288C	original	GbackP1D02
MAL32	S288C	original	GbackP1E02
MAL11	S288C	original	GbackP1F02
MAL12	S288C	original	GbackP1G02
MET5	S288C	original	GbackP1H02
BCS1	S288C	new	GbackP1A03
CHL1	S288C	new	GbackP1B03
MMM1	S288C	new	GbackP1C03
SLM1	S288C	new	GbackP1D03
SLM4	S288C	new	GbackP1E03
AVL9	S288C	new	GbackP1F03
HOC1	S288C	new	GbackP1G03
ERG2	S288C	new	GbackP1H03
BCS1	S288C	original	GbackP1A04
CHL1	S288C	original	GbackP1B04
MMM1	S288C	original	GbackP1C04
SLM1	S288C	original	GbackP1D04
SLM4	S288C	original	GbackP1E04
AVL9	S288C	original	GbackP1F04
HOC1	S288C	original	GbackP1G04
ERG2	S288C	original	GbackP1H04
ERG5	S288C	new	GbackP1A05
RPL12B	S288C	new	GbackP1C05
BY4741	S288C	new	GbackP1E05
ERG5	S288C	original	GbackP1A06
YNL298	S288C	original	GbackP1B06
RPL12B	S288C	original	GbackP1C06
GAS1	S288C	original	GbackP1D06
BY4741	S288C	original	GbackP1E06
PBS2	Y55	new	GbackP1A07
HOG1	Y55	new	GbackP1B07
STE50	Y55	new	GbackP1C07
PET130	Y55	new	GbackP1D07
MAL32	Y55	new	GbackP1E07
MAL12	Y55	new	GbackP1G07
MET5	Y55	new	GbackP1H07
PBS2	Y55	original	GbackP1A08
HOG1	Y55	original	GbackP1B08
STE50	Y55	original	GbackP1C08
PET130	Y55	original	GbackP1D08
MAL32	Y55	original	GbackP1E08
MAL11	Y55	original	GbackP1F08
MAL12	Y55	original	GbackP1G08
