Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_YPS_14_01_01		1
1	2	YOR202W_YPS_14_01_02		1
1	3	YOR202W_YPS_14_01_03		1
1	4	YOR202W_YPS_14_01_04		1
1	5	YOR202W_YPS_14_01_05		1
1	6	YOR202W_YPS_14_01_06		1
1	7	YOR202W_YPS_14_01_07		1
1	8	YOR202W_YPS_14_01_08		1
1	9	YOR202W_YPS_14_01_09		1
1	10	YOR202W_YPS_14_01_10		1
1	11	YOR202W_YPS_14_01_11		1
1	12	YOR202W_YPS_14_01_12		1
1	13	YOR202W_YPS_14_01_13		1
1	14	YOR202W_YPS_14_01_14		1
1	15	YOR202W_YPS_14_01_15		1
1	16	YOR202W_YPS_14_01_16		1
1	17	YOR202W_YPS_14_01_17		1
1	18	YOR202W_YPS_14_01_18		1
1	19	YOR202W_YPS_14_01_19		1
1	20	YOR202W_YPS_14_01_20		1
1	21	YOR202W_YPS_14_01_21		1
1	22	YOR202W_YPS_14_01_22		1
1	23	YOR202W_YPS_14_01_23		1
1	24	YOR202W_YPS_14_01_24		1
1	25	YOR202W_YPS_14_01_25		1
1	26	YOR202W_YPS_14_01_26		1
1	27	YOR202W_YPS_14_01_27		1
1	28	YOR202W_YPS_14_01_28		1
1	29	YOR202W_YPS_14_01_29		1
1	30	YOR202W_YPS_14_01_30		1
1	31	YOR202W_YPS_14_01_31		1
1	32	YOR202W_YPS_14_01_32		1
1	33	YOR202W_YPS_14_01_33		1
1	34	YOR202W_YPS_14_01_34		1
1	35	YOR202W_YPS_14_01_35		1
1	36	YOR202W_YPS_14_01_36		1
1	37	YOR202W_YPS_14_01_37		1
1	38	YOR202W_YPS_14_01_38		1
1	39	YOR202W_YPS_14_01_39		1
1	40	YOR202W_YPS_14_01_40		1
1	41	YOR202W_YPS_14_01_41		1
1	42	YOR202W_YPS_14_01_42		1
1	43	YOR202W_YPS_14_01_43		1
1	44	YOR202W_YPS_14_01_44		1
1	45	YOR202W_YPS_14_01_45		1
1	46	YOR202W_YPS_14_01_46		1
1	47	YOR202W_YPS_14_01_47		1
1	48	YOR202W_YPS_14_01_48		1
2	1	YOR202W_YPS_14_02_01		1
2	2	YOR202W_YPS_14_02_02		1
2	3	YOR202W_YPS_14_02_03		1
2	4	YOR202W_YPS_14_02_04		1
2	5	YOR202W_YPS_14_02_05		1
2	6	YOR202W_YPS_14_02_06		1
2	7	YOR202W_YPS_14_02_07		1
2	8	YOR202W_YPS_14_02_08		1
2	9	YOR202W_YPS_14_02_09		1
2	10	YOR202W_YPS_14_02_10		1
2	11	YOR202W_YPS_14_02_11		1
2	12	YOR202W_YPS_14_02_12		1
2	13	YOR202W_YPS_14_02_13		1
2	14	YOR202W_YPS_14_02_14		1
2	15	YOR202W_YPS_14_02_15		1
2	16	YOR202W_YPS_14_02_16		1
2	17	YOR202W_YPS_14_02_17		1
2	18	YOR202W_YPS_14_02_18		1
2	19	YOR202W_YPS_14_02_19		1
2	20	YOR202W_YPS_14_02_20		1
2	21	YOR202W_YPS_14_02_21		1
2	22	YOR202W_YPS_14_02_22		1
2	23	YOR202W_YPS_14_02_23		1
2	24	YOR202W_YPS_14_02_24		1
2	25	YOR202W_YPS_14_02_25		1
